epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4647,2.35306,6.47364,1.14564,0,0,0,0,1.36351,5.39349,0.84351,5.79118e-05,5.79118e-05,5.79118e-05
2,33.2532,1.3665,5.49607,0.83778,0.00296,0.01348,0.00287,0.00077,1.1622,5.17785,0.79905,0.000116414,0.000116414,0.000116414
3,44.4092,1.19467,5.01601,0.81513,0.01507,0.48179,0.02627,0.01832,0.98212,4.46614,0.7976,0.000173736,0.000173736,0.000173736
4,57.2953,1.12052,4.68745,0.80802,0.01583,0.66318,0.03563,0.02661,0.91664,3.88106,0.8003,0.000173684,0.000173684,0.000173684
5,70.8168,1.02193,4.34478,0.8026,0.01839,0.75162,0.04378,0.03364,0.86259,3.57577,0.8032,0.000171912,0.000171912,0.000171912
6,84.0935,1.01276,4.08472,0.80333,0.01978,0.79969,0.0526,0.04155,0.81986,3.27968,0.80131,0.000170139,0.000170139,0.000170139
7,94.598,0.95079,3.83057,0.79707,0.02242,0.82044,0.06674,0.05324,0.80951,3.10483,0.7925,0.000168367,0.000168367,0.000168367
8,107.802,0.9256,3.61723,0.79395,0.17266,0.18799,0.08371,0.06575,0.79693,2.92926,0.7915,0.000166595,0.000166595,0.000166595
9,121.373,0.91561,3.48573,0.79522,0.30781,0.23201,0.10237,0.08007,0.81297,2.80641,0.79335,0.000164823,0.000164823,0.000164823
10,137.991,0.88928,3.31335,0.79998,0.16509,0.26919,0.10797,0.08584,0.76486,2.65224,0.78933,0.000163051,0.000163051,0.000163051
11,148.634,0.87017,3.13897,0.79382,0.19233,0.31595,0.13575,0.10794,0.76234,2.5495,0.78524,0.000161279,0.000161279,0.000161279
12,161.485,0.88507,3.01581,0.79312,0.15855,0.32034,0.16087,0.12686,0.78351,2.45563,0.78794,0.000159507,0.000159507,0.000159507
13,174.906,0.87424,2.91749,0.79585,0.18747,0.39999,0.17595,0.14077,0.75873,2.35193,0.78626,0.000157735,0.000157735,0.000157735
14,187.044,0.84158,2.88654,0.7983,0.19933,0.42442,0.19777,0.15814,0.73649,2.29115,0.78512,0.000155963,0.000155963,0.000155963
